home,away,won,home_attack,home_deffense,away_attack,away_deffense,home_id,away_id
0,1,away,0.9325241052631579,1.3685032105263157,1.4262978684210526,1.0722211578947367,44,33
1,0,home,0.8908619736842105,1.353819894736842,1.0763644210526315,1.2173616842105264,52,41
0,3,away,1.1328612105263158,1.1503959736842104,1.185106657894737,1.014207052631579,36,42
4,3,home,1.5539092631578948,0.9581219736842105,1.315919947368421,1.4581814210526316,40,63
2,0,home,1.590960947368421,0.8525350789473685,1.3456919736842106,1.3521605789473683,50,66
0,1,away,1.112908,1.3578454736842105,1.0274163157894738,1.233633447368421,47,45
0,3,away,0.8425862105263158,1.6121498157894736,1.3476432368421052,0.9601127894736842,60,46
0,2,away,1.1979285263157895,1.1421443157894737,1.058699342105263,1.4024461052631578,48,34
1,3,away,1.3265687631578946,0.9644233157894737,1.5138173157894736,0.831302947368421,51,49
0,2,away,0.8389786578947368,1.3351425789473683,1.1308949736842104,1.2112308947368422,62,39
2,1,home,1.185106657894737,1.014207052631579,1.1979285263157895,1.1421443157894737,42,48
1,0,home,1.3456919736842106,1.3521605789473683,0.8389786578947368,1.3351425789473683,66,62
0,2,away,1.5138173157894736,0.831302947368421,1.5539092631578948,0.9581219736842105,49,40
5,2,home,1.0274163157894738,1.233633447368421,0.8425862105263158,1.6121498157894736,45,60
4,3,home,1.315919947368421,1.4581814210526316,1.1328612105263158,1.1503959736842104,63,36
4,2,home,1.3476432368421052,0.9601127894736842,0.9325241052631579,1.3685032105263157,46,44
1,3,away,1.4262978684210526,1.0722211578947367,0.8908619736842105,1.353819894736842,33,52
0,3,away,1.058699342105263,1.4024461052631578,1.3265687631578946,0.9644233157894737,34,51
2,5,away,1.0763644210526315,1.2173616842105264,1.112908,1.3578454736842105,41,47
1,3,away,1.1308949736842104,1.2112308947368422,1.590960947368421,0.8525350789473685,39,50
2,3,away,1.3265687631578946,0.9644233157894737,1.4262978684210526,1.0722211578947367,51,33
0,1,away,0.9325241052631579,1.3685032105263157,1.0763644210526315,1.2173616842105264,44,41
1,2,away,0.8908619736842105,1.353819894736842,1.0274163157894738,1.233633447368421,52,45
0,3,away,1.1328612105263158,1.1503959736842104,1.3456919736842106,1.3521605789473683,36,66
3,1,home,1.5539092631578948,0.9581219736842105,1.185106657894737,1.014207052631579,40,42
2,5,away,1.590960947368421,0.8525350789473685,1.3476432368421052,0.9601127894736842,50,46
0,1,away,0.8389786578947368,1.3351425789473683,1.315919947368421,1.4581814210526316,62,63
1,1,draw,1.112908,1.3578454736842105,1.058699342105263,1.4024461052631578,47,34
3,3,draw,0.8425862105263158,1.6121498157894736,1.5138173157894736,0.831302947368421,60,49
4,0,home,1.1979285263157895,1.1421443157894737,1.1308949736842104,1.2112308947368422,48,39
2,1,home,1.185106657894737,1.014207052631579,0.8389786578947368,1.3351425789473683,42,62
7,2,home,1.3456919736842106,1.3521605789473683,1.5539092631578948,0.9581219736842105,66,40
4,0,home,1.5138173157894736,0.831302947368421,0.8908619736842105,1.353819894736842,49,52
4,2,home,1.0274163157894738,1.233633447368421,1.3265687631578946,0.9644233157894737,45,51
1,1,draw,1.315919947368421,1.4581814210526316,1.590960947368421,0.8525350789473685,63,50
0,3,away,1.3476432368421052,0.9601127894736842,1.1979285263157895,1.1421443157894737,46,48
1,6,away,1.4262978684210526,1.0722211578947367,1.112908,1.3578454736842105,33,47
3,1,home,1.058699342105263,1.4024461052631578,0.9325241052631579,1.3685032105263157,34,44
2,0,home,1.0763644210526315,1.2173616842105264,0.8425862105263158,1.6121498157894736,41,60
1,0,home,1.1308949736842104,1.2112308947368422,1.1328612105263158,1.1503959736842104,39,36
3,3,draw,1.5138173157894736,0.831302947368421,1.0763644210526315,1.2173616842105264,49,41
1,1,draw,0.8908619736842105,1.353819894736842,1.3265687631578946,0.9644233157894737,52,51
2,2,draw,1.0274163157894738,1.233633447368421,1.5539092631578948,0.9581219736842105,45,40
0,1,away,1.315919947368421,1.4581814210526316,1.1308949736842104,1.2112308947368422,63,39
0,1,away,1.3476432368421052,0.9601127894736842,1.3456919736842106,1.3521605789473683,46,66
1,0,home,1.590960947368421,0.8525350789473685,1.185106657894737,1.014207052631579,50,42
1,4,away,1.058699342105263,1.4024461052631578,1.4262978684210526,1.0722211578947367,34,33
1,1,draw,0.8389786578947368,1.3351425789473683,1.1328612105263158,1.1503959736842104,62,36
3,3,draw,1.112908,1.3578454736842105,1.1979285263157895,1.1421443157894737,47,48
0,0,draw,0.8425862105263158,1.6121498157894736,0.9325241052631579,1.3685032105263157,60,44
0,1,away,1.185106657894737,1.014207052631579,1.3476432368421052,0.9601127894736842,42,46
0,3,away,1.3456919736842106,1.3521605789473683,1.315919947368421,1.4581814210526316,66,63
1,1,draw,1.3265687631578946,0.9644233157894737,0.8425862105263158,1.6121498157894736,51,60
0,1,away,0.9325241052631579,1.3685032105263157,1.112908,1.3578454736842105,44,47
1,2,away,1.1328612105263158,1.1503959736842104,0.8908619736842105,1.353819894736842,36,52
2,1,home,1.5539092631578948,0.9581219736842105,0.8389786578947368,1.3351425789473683,40,62
0,0,draw,1.4262978684210526,1.0722211578947367,1.5138173157894736,0.831302947368421,33,49
2,0,home,1.0763644210526315,1.2173616842105264,1.0274163157894738,1.233633447368421,41,45
1,1,draw,1.1979285263157895,1.1421443157894737,1.590960947368421,0.8525350789473685,48,50
1,1,draw,1.1308949736842104,1.2112308947368422,1.058699342105263,1.4024461052631578,39,34
3,4,away,1.3456919736842106,1.3521605789473683,1.0763644210526315,1.2173616842105264,66,41
0,3,away,0.9325241052631579,1.3685032105263157,1.5138173157894736,0.831302947368421,44,49
2,0,home,1.1328612105263158,1.1503959736842104,0.8425862105263158,1.6121498157894736,36,60
1,4,away,1.315919947368421,1.4581814210526316,1.3476432368421052,0.9601127894736842,63,46
2,1,home,1.5539092631578948,0.9581219736842105,1.1979285263157895,1.1421443157894737,40,48
0,1,away,1.4262978684210526,1.0722211578947367,1.185106657894737,1.014207052631579,33,42
2,1,home,1.058699342105263,1.4024461052631578,1.0274163157894738,1.233633447368421,34,45
0,1,away,0.8389786578947368,1.3351425789473683,1.590960947368421,0.8525350789473685,62,50
2,1,home,1.112908,1.3578454736842105,1.3265687631578946,0.9644233157894737,47,51
2,0,home,1.1308949736842104,1.2112308947368422,0.8908619736842105,1.353819894736842,39,52
0,3,away,1.185106657894737,1.014207052631579,1.3456919736842106,1.3521605789473683,42,66
0,0,draw,1.3265687631578946,0.9644233157894737,0.9325241052631579,1.3685032105263157,51,44
4,1,home,1.5138173157894736,0.831302947368421,0.8389786578947368,1.3351425789473683,49,62
4,1,home,0.8908619736842105,1.353819894736842,1.315919947368421,1.4581814210526316,52,63
1,3,away,1.0274163157894738,1.233633447368421,1.4262978684210526,1.0722211578947367,45,33
1,0,home,1.3476432368421052,0.9601127894736842,1.1308949736842104,1.2112308947368422,46,39
1,1,draw,1.590960947368421,0.8525350789473685,1.5539092631578948,0.9581219736842105,50,40
2,0,home,1.0763644210526315,1.2173616842105264,1.058699342105263,1.4024461052631578,41,34
0,1,away,0.8425862105263158,1.6121498157894736,1.112908,1.3578454736842105,60,47
1,0,home,1.1979285263157895,1.1421443157894737,1.1328612105263158,1.1503959736842104,48,36
1,2,away,1.3456919736842106,1.3521605789473683,1.3265687631578946,0.9644233157894737,66,51
1,0,home,0.9325241052631579,1.3685032105263157,0.8908619736842105,1.353819894736842,44,52
2,3,away,1.1328612105263158,1.1503959736842104,1.0274163157894738,1.233633447368421,36,45
0,0,draw,1.315919947368421,1.4581814210526316,1.185106657894737,1.014207052631579,63,42
3,0,home,1.5539092631578948,0.9581219736842105,1.3476432368421052,0.9601127894736842,40,46
1,0,home,1.4262978684210526,1.0722211578947367,0.8425862105263158,1.6121498157894736,33,60
0,2,away,1.058699342105263,1.4024461052631578,1.5138173157894736,0.831302947368421,34,49
0,1,away,0.8389786578947368,1.3351425789473683,1.1979285263157895,1.1421443157894737,62,48
2,0,home,1.112908,1.3578454736842105,1.590960947368421,0.8525350789473685,47,50
1,1,draw,1.1308949736842104,1.2112308947368422,1.0763644210526315,1.2173616842105264,39,41
1,2,away,1.185106657894737,1.014207052631579,1.1308949736842104,1.2112308947368422,42,39
1,1,draw,1.3265687631578946,0.9644233157894737,1.5539092631578948,0.9581219736842105,51,40
0,0,draw,1.5138173157894736,0.831302947368421,1.112908,1.3578454736842105,49,47
0,2,away,0.8908619736842105,1.353819894736842,1.058699342105263,1.4024461052631578,52,34
0,1,away,1.0274163157894738,1.233633447368421,1.315919947368421,1.4581814210526316,45,63
1,2,away,1.3476432368421052,0.9601127894736842,1.1328612105263158,1.1503959736842104,46,36
5,0,home,1.590960947368421,0.8525350789473685,0.9325241052631579,1.3685032105263157,50,44
2,3,away,1.0763644210526315,1.2173616842105264,1.4262978684210526,1.0722211578947367,41,33
1,0,home,0.8425862105263158,1.6121498157894736,0.8389786578947368,1.3351425789473683,60,62
2,1,home,1.1979285263157895,1.1421443157894737,1.3456919736842106,1.3521605789473683,48,66
2,0,home,1.3456919736842106,1.3521605789473683,1.058699342105263,1.4024461052631578,66,34
1,2,away,1.3265687631578946,0.9644233157894737,1.0763644210526315,1.2173616842105264,51,41
1,1,draw,0.9325241052631579,1.3685032105263157,1.0274163157894738,1.233633447368421,44,45
3,1,home,1.5138173157894736,0.831302947368421,1.315919947368421,1.4581814210526316,49,63
4,0,home,1.5539092631578948,0.9581219736842105,1.1308949736842104,1.2112308947368422,40,39
2,0,home,1.590960947368421,0.8525350789473685,1.1328612105263158,1.1503959736842104,50,36
1,2,away,0.8389786578947368,1.3351425789473683,1.3476432368421052,0.9601127894736842,62,46
2,0,home,1.112908,1.3578454736842105,1.185106657894737,1.014207052631579,47,42
1,5,away,0.8425862105263158,1.6121498157894736,0.8908619736842105,1.353819894736842,60,52
1,3,away,1.1979285263157895,1.1421443157894737,1.4262978684210526,1.0722211578947367,48,33
0,1,away,1.185106657894737,1.014207052631579,0.9325241052631579,1.3685032105263157,42,44
1,1,draw,0.8908619736842105,1.353819894736842,1.112908,1.3578454736842105,52,47
1,0,home,1.0274163157894738,1.233633447368421,1.5138173157894736,0.831302947368421,45,49
